code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,quality_explained/List type: Third Party,registerType,sector,structure,subnationalCoverage,url
KE-KRA,"The Personal Identification Number (PIN) is a number which identifies a person or legal entity for purposes of transacting business with Kenya Revenue Authority, other Government agencies and service providers in Kenya. A PIN may be issued to both individuals and 'artificial persons' such as companies, clubs, trusts and partnerships.
",,False,"P00000000150Q, A0000001059V, P051365947M",Consult with an organisation to ask for their PIN. This will be available on a PIN Certificate. ,en,The Kenya Revenue Authority provide a PIN Checker service at https://itax.kra.go.ke/KRA-Portal/pinChecker.htm?actionCode=loadPage&viewType=static which can be used to verify a PIN and lookup the address and tax registration details of an organisation. ,,True,KE,data_not_available,,,,no_license,False,,,https://en.wikipedia.org/wiki/Kenya_Revenue_Authority,secondary,2023-08-15,https://github.com/org-id/register/issues/231#issuecomment-400702907,Kenya Revenue Authority PIN,,55,,,,,,,,,,5,,,,50,,,,"charity, company, government_agency, trust, unincorporated_body",,https://www.kra.go.ke/individual/individual-pin-registration/learn-about-pin/about-pin
KE-NCB,"The NGO Coordination Board of Kenya registers NGOs and maintains a registry of organisation information. This information can be accessed by through request and after paying a fee.

""The Board has the responsibility of regulating and enabling the NGO sector in Kenya.

Our Mandate:

To maintain the register of National and International NGOs operating in Kenya, with the precise sectors, affiliations and locations of their activities."" [1]

""Under section 31 of the NGOs Regulations 1992, any member of the public is allowed to inspect the files and the documents therein of any registered organization during normal working hours. They can also obtain copies of documents in the files.

To conduct a records search a letter should be written to the ED of the NGOB stating the name of the applicant as well as the organization whose details they wish to search and the information they seek.

The applicant can decide whether to carry out the records search themselves or have the Board conduct it on their behalf. This will be upon a requisite payment of Kenya Shillings Three Thousand (KES 3000)"" [2]

[1] http://www.ngobureau.or.ke/
[2] http://www.ngobureau.or.ke/?page_id=408",,False,,"A unified registry list of NGO identifiers not found. But other organisations have referred to NGO identifiers.

An OIPA search returns example ID KE-NCB-200201282375. Searching on the second part of that finds http://www.idealist.org/view/nonprofit/kCM3mWt8k6W4/ . Which has a slightly different format of ID: OP.218/051/2002/0128/2375. 

There are also some IDs in the dataset with the OP component such as KE-NCB-OP-218-051-9399-80

It is possible that the government issues them with slashes, but people are replacing that with different characters, and stripping some parts off in cases.

We recommend following the pattern of stripping out the slashes, and removing the preceding OP component. ",en,"There are several links which suggest the user can access data, but they do not lead to a searchable registry e.g. 'Name Search', 'Register of NGOs' and 'Records Search' do not provide access to data",None available,True,KE,data_not_available,,,,closed_license,,,,,secondary,2016-12-27,Desk research,NGO's Coordination Board,,50,,,,,,,,,0,,,,,50,,,,charity,,http://www.ngobureau.or.ke/
KE-RCO,"The Registrar of Companies is under the remit of the Registrar General, which is a part of the Office of the Attorney General and Department of Justice. This Registrar is responsible for the registration of companies within Kenya, and maintains a database, the records of which can be accessed on request for a fee.",,False,,None available,en,"A company name search can be conducted by either registering with the ebusiness.go.ke service, or asking the government to search the name at a cost of KES 100 per name",None available,True,KE,data_not_available,,,http://index.okfn.org/place/kenya/companies/,closed_license,,,,,primary,2016-11-25,Desk research,Registar of Companies,,75,,,,,,,,,0,,,,75,,,,,company,,http://www.attorney-general.go.ke/
KE-RSO,"The Registrar of Societies is held under the Office of the Attorney General and Department of Justice. Interest groups in Kenya apply to the Registrar of Societies for both registration and exemption from registration of being a 'society'. But there is no indication that societies have legal/corporate foundation. There is also no publicly available database of the Registrar of Societies.

For Kenya's NGO registry list, users should look to KE-NCB. Please note there is currently no publicly available dataset for this registry.

""In summary, State Law Office and Department of Justice is mandated to promote the rule of law and public participation; support Government’s investment in socio-economic development; promote transparency, accountability, ethics and integrity; spearhead policy, legal and institutional reforms; promote economic governance and empowerment; promotion, fulfillment and protection of human rights; undertake administrative management; capacity building; and enhance access to justice."" [1]

[1] http://www.statelaw.go.ke/about-office-of-the-attorney-general-and-department-of-justice/",,False,,None available,en,,None available,True,KE,data_not_available,,,,no_license,True,,,,deprecated,2016-12-27,Desk research,Registrar of Societies,,5,,,,,,,,,,5,,,,,,,,"unincorporated_body, charity",,http://www.attorney-general.go.ke/
KG-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Kyrgyzstan.",https://gov-id-finder.codeforiati.org/countries/KG/,True,KG,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Kyrgyzstan Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/KG/
KG-ID,"The Ministry of Justice of the Republic of Kyrgyz maintains the register of legal entities. It contains  entries for many kinds of organizations, including:

* Companies
* Partnerships
* Co-operatives
* Trade unions
* Local and state enterprises
* Joint ventures
* Small businesses
* Political Parties
* Credit unions

This list references the company registration number scheme",,True,48206-3303-ООО,Registration number is the 'Рег. №' which should be used as the identifier,"ky, ru","Company can be searched by its name ('наименование'), registration number ('Рег. №'), tax number ('ИНН'), OKPO code ('Код ОКПО', assigned to each legal entity for statistics purposes), company status ('Статус'), registration date ('Дата') etc.  

Search is free-of-charge, no English interface.",http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=1184653,True,KG,data_not_available,,,,,False,,,,primary,2017-11-08,ProZorro Business Register Research,Electronic database of legal entities and branches (Krygyzstan),"Юридикалык жактардын, филиалдардын электрондук базасы",75,,,,,,,,,,,,,75,,,,,"company, charity, company/limited_company, company/mutual, company/partnership, government_agency",,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=204
KG-INN,The Ministry of Justice of the Kyrgyz Republic maintains the register of legal entities. Only Russian and Kyrgyz interfaces are available.,,True,1207199510092,Tax number is under `ИНН` header.,"kg, ru","Company can be searched by its name (`наименование`), registration number (`Рег. №`), tax number (`ИНН`), OKPO code (assigned to each legal entity for statistics purposes), company status, registration date etc.  Search is free-of-charge, no English interface.",,True,KG,,,,,,False,,,,secondary,2017-10-24,ProZorro Business Register Research,Kyrgyz Republic Register of Legal Entities,"Юридикалык жактарды, Кыргыз Республикасынын кароо",50,,,,,,,,,,,,,,50,,,,company,,http://register.minjust.gov.kg/register/SearchAction.seam?logic=and&cid=205
KG-OKPO,"The Ministry of Justice of the Republic of Kyrgyz maintains the register of legal entities. It contains  entries for many kinds of organizations, including:

* Companies
* Partnerships
* Co-operatives
* Trade unions
* Local and state enterprises
* Joint ventures
* Small businesses
* Political Parties
* Credit unions

This list references the (National Classifier of Businesses and Organisations) OKPO codes scheme.",,True,"29693656, 22383800","To find an OKPO code you will need to know one of company name ('наименование'), registration number ('Рег. №'), tax number ('ИНН'). A search for one of these will return a link to the full company details, which includes the OKPO code","ky, ru","Company can be searched by its name ('наименование'), registration number ('Рег. №'), tax number ('ИНН'), OKPO code ('Код ОКПО', assigned to each legal entity for statistics purposes). Additional search criteria exist for company status ('Статус'), registration date ('Дата') etc.  

Search is free-of-charge, no English interface.",http://register.minjust.gov.kg/register/SearchAction.seam,True,KG,data_not_available,,,,,False,,,,primary,2019-01-29, ProZorro Business Register Research,Electronic database of legal entities and branches (Krygyzstan) OKPO codes,"Юридикалык жактардын, филиалдардын электрондук базасы Код ОКПО",75,,,,,,,,,,,,,75,,,,,"company, charity, company/limited_company, company/mutual, company/partnership, government_agency",,http://register.minjust.gov.kg/register/SearchAction.seam
KG-TIN,"The Ministry of Justice of the Republic of Kyrgyz maintains the register of legal entities. It contains  entries for many kinds of companies, including:

* Companies
* Partnerships
* Co-operatives
* Trade unions
* Local and state enterprises
* Joint ventures
* Small businesses
* Political Parties
* Credit unions

This list references the Taxpayer Identification Numbers (TIN) scheme. ",,True,"02507199510010, 20502198100469","To find a company's TIN you will need to know one of company name ('наименование'), registration number ('Рег. №'), OKPO code (Код ОКПО). A search for one of these will return a link to the full company details, which includes the TIN","ky, ru","Company can be searched by its name ('наименование'), registration number ('Рег. №'), tax number ('ИНН'), OKPO code ('Код ОКПО', assigned to each legal entity for statistics purposes). Additional search criteria exist for company status ('Статус'), registration date ('Дата') etc.  

Search is free-of-charge, no English interface.",http://register.minjust.gov.kg/register/SearchAction.seam,True,KG,data_not_available,,,,,False,,,,primary,2019-01-29, ProZorro Business Register Research,Electronic database of legal entities and branches (Krygyzstan) TIN,"Юридикалык жактардын, филиалдардын электрондук базасы ИНН",75,,,,,,,,,,,,,75,,,,,"company, charity, company/limited_company, company/mutual, company/partnership, government_agency",,http://register.minjust.gov.kg/register/SearchAction.seam
KH-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Cambodia.",https://gov-id-finder.codeforiati.org/countries/KH/,True,KH,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Cambodia Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/KH/
KH-INGO,"A foreign NGO must register with the MOFA by entering into a Memorandum of Understanding (“MOU”) with MOFA. After the MOFA has entered into the MOU with a foreign NGO, the NGO must sign a Project Agreement with the MOFA before starting its work.  A foreign NGO may be established for a three (3) year duration which must be renewed with the MOFA before the expiration of the term.
An organization registered as a foreign NGO by the MOFA is considered properly licensed to carry out its activities in Cambodia and no further registration is required. However, in the event a foreign organization was to carry out business activities pursuant to Article 272 of the LOCE it may remain subject to registration as in accordance with that provision.
After obtaining MOFA or MOI approval to be established, a foreign or local NGO must also register with the CDC if it wishes to import duty free materials to serve its program. The CDC will periodically require the NGO complete several forms.",,True,,,,,https://www.mfaic.gov.kh/Page/2021-02-10-List-of-Foreign-NGOs-Which-Signed-MoU-with-the-Ministry-of-Foreign-Affairs-and-International-Cooperation,True,KH,,,,,open_license,False,,,,secondary,06/10/2022,Research and official records,Ministry of Foreign Affairs,,60,,,,,,,,,,,10,,,50,,,humantiarian_relief,charity,,https://www.mfaic.gov.kh/
KH-NNGO,"The Ministry of Interior is responsible for registering national non-governmental organizations (NGOs), as well as monitoring the proper implementation of its laws and regulations [1]. There are two distinct types of NGOs in Cambodia, national and foreign [2]. Only national NGOs are registered with the Ministry of Interior [2].
[1] https://www.interior.gov.kh/about
[2] https://cambodiacounsel.com/ngo-registration/",,False,502,Ask the organisation you wish to identify to provide their registration number.,en,,http://,True,KH,data_not_available,,,,open_license,False,,,,primary,2021-11-15,Original research,Ministry of Interior National NGO Registrar,,85,,,,,,,,,,,10,,75,,,,,charity,,https://cambodiacounsel.com/ngo-registration/
KI-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,True,"01, 11",The codes from the Organisation or Administrative classification should be used. ,en,Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.,https://gov-id-finder.codeforiati.org/countries/KI/,True,KI,"json, csv",A download of the data is available from https://gov-id-finder.codeforiati.org/countries/KI/,,,no_license,False,,,,secondary,2022-03-23,Desk research,Kiribati Chart of Accounts,,57,,,1,,1,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/KI/
